Analysis,Component name,Id numeric,Result text,Result type,Result value
D_POT_IONI,NITRITOS,168362,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168362,0.38,N,0.380
D_CONDUCT,Conductividad a 20 ºC,168363,255,N,255.000
D_OXIDABIL,Oxidabilidad al Permanganato,168363,2.04,N,2.040
WMM-LM-CAM,Cloro total,168363,0.4,N,0.400
WMM-LM-CAM,Cloro libre,168363,<0.1,N,0.000
WMM-LM-CAM,Cloro combinado,168363,.4,N,0.400
TEST-NH4,Amonio,168363,<0.20 mg/l,O,0.000
SULF-IONIC,SULFATOS,168363,15.1,N,15.100
PE-IL-COND,Conductividad en campo,168363,307,N,307.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168363,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168363,0,N,0.000
M-013-AC1,Recuento de Enterococos intestinales,168363,0,N,0.000
D_TURBIDEZ,Turbidez,168363,0.30,N,0.300
D_POT_IONI,NITRITOS,168363,<0.05,N,0.050
D_POT_IONI,NITRATOS,168363,4.43,N,4.430
D_POT_IONI,FLUORUROS,168363,0.90,N,0.900
D_POT_IONI,CLORUROS,168363,12.92,N,12.920
D_PH,pH,168363,7.7,N,7.700
D_CONDUCT,Conductividad a 20 ºC,168364,240,N,240.000
WMM-LM-CAM,Cloro total,168364,0.1,N,0.100
WMM-LM-CAM,Cloro combinado,168364,.1,N,0.100
TEST-NH4,Amonio,168364,<0.20 mg/l,O,0.000
SULF-IONIC,SULFATOS,168364,14.8,N,14.790
PE-IL-COND,Conductividad en campo,168364,265,N,265.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168364,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168364,0,N,0.000
M-013-AC1,Recuento de Enterococos intestinales,168364,0,N,0.000
D_TURBIDEZ,Turbidez,168364,6.10,N,6.100
D_POT_IONI,NITRITOS,168364,<0.05,N,0.050
D_POT_IONI,NITRATOS,168364,1.62,N,1.620
D_POT_IONI,FLUORUROS,168364,0.91,N,0.910
D_POT_IONI,CLORUROS,168364,14.34,N,14.340
D_PH,pH,168364,7.6,N,7.550
D_OXIDABIL,Oxidabilidad al Permanganato,168364,1.96,N,1.960
WMM-LM-CAM,Cloro libre,168364,<0.1,N,0.000
D_CONDUCT,Conductividad a 20 ºC,168705,255,N,255.000
WMM-LM-CAM,Cloro total,168705,0.4,N,0.400
D_PH,pH,168705,7.8,N,7.840
D_POT_IONI,CLORUROS,168705,16.69,N,16.690
D_POT_IONI,FLUORUROS,168705,0.66,N,0.660
D_POT_IONI,NITRATOS,168705,3.51,N,3.510
D_POT_IONI,NITRITOS,168705,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168705,0.41,N,0.410
M-013-AC1,Recuento de Enterococos intestinales,168705,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168705,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168705,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168705,0.0,K,0.000
M-068-AC1,Microorganismos cultivables a 22º C,168705,<1,N,1.000
M-068-AC1,P1,168705,0,N,0.000
M-068-AC1,P2,168705,0,N,0.000
M-068-AC1,Recuento,168705,0,K,0.000
M-068-AC1,d,168705,0,N,0.000
PE-IL-COND,Conductividad en campo,168705,280,N,280.000
SULF-IONIC,SULFATOS,168705,13.5,N,13.480
TEST-NH4,Amonio,168705,<0.20 mg/l,O,0.000
