Id numeric,Result text,Result value,Sampled date,Test status,Description,Component name,Sample name
"    233785","115.8                                                                                                                                                                                                                                     ","   115.810","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Aluminio total                          ","agua duplicado                "
"    233785","<50.0                                                                                                                                                                                                                                     ","    20.320","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Boro total                              ","agua duplicado                "
"    233785","<0.15                                                                                                                                                                                                                                     ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Nitritos                                ","agua duplicado                "
"    233785","5.23                                                                                                                                                                                                                                      ","     5.230","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Nitratos                                ","agua duplicado                "
"    233785","<0.10                                                                                                                                                                                                                                     ","     0.050","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Cloro combinado                         ","agua duplicado                "
"    233785","<0.10                                                                                                                                                                                                                                     ","     0.070","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Cloro total                             ","agua duplicado                "
"    233785","271                                                                                                                                                                                                                                       ","   271.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Conductividad a 20 ºC                   ","agua duplicado                "
"    233867","7.3                                                                                                                                                                                                                                       ","     7.270","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","pH                                      ","agua blanco 23/4/24           "
"    233867","0                                                                                                                                                                                                                                         ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Recuento de E. coli                     ","agua blanco 23/4/24           "
"    233867","<0.22                                                                                                                                                                                                                                     ","     0.050","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Turbidez                                ","agua blanco 23/4/24           "
"    233867","<0.50                                                                                                                                                                                                                                     ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Oxidabilidad                            ","agua blanco 23/4/24           "
"    233867","<1                                                                                                                                                                                                                                        ","     1.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Microorganismos cultivables a 22º C     ","agua blanco 23/4/24           "
